season,team,team_name,wins,losses,win_pct,games,points_pg,opponent_points_pg,off_rating_est,def_rating_est,net_rating,sos,adjusted_net_rating,pace
2023-24,ATL,Atlanta Hawks,36,46,0.439,82,118.3293,120.5122,114.2917,116.3323,-2.0406,-0.1161,-2.1567,103.5259
2023-24,BKN,Brooklyn Nets,32,50,0.3902,82,110.3659,113.2561,110.3219,113.2073,-2.8855,-0.0342,-2.9197,100.0529
2023-24,BOS,Boston Celtics,64,18,0.7805,82,120.5732,109.2317,120.3694,109.0136,11.3558,-0.5344,10.8214,100.2832
2023-24,CHA,Charlotte Hornets,21,61,0.2561,82,106.5854,116.8293,106.9634,117.2794,-10.316,0.2256,-10.0905,99.7002
2023-24,CHI,Chicago Bulls,39,43,0.4756,82,112.2683,113.7073,112.1517,113.7277,-1.576,-0.2578,-1.8338,100.1512
2023-24,CLE,Cleveland Cavaliers,48,34,0.5854,82,112.6341,110.2195,112.5662,110.2377,2.3284,-0.3603,1.9681,100.0902
2023-24,DAL,Dallas Mavericks,50,32,0.6098,82,117.8537,115.6463,114.9325,112.8788,2.0537,0.0082,2.0619,102.5376
2023-24,DEN,Denver Nuggets,57,25,0.6951,82,114.8537,109.5976,115.7723,110.5014,5.2709,-0.1253,5.1456,99.2724
2023-24,DET,Detroit Pistons,14,68,0.1707,82,109.878,118.9878,107.1315,115.9541,-8.8226,0.1238,-8.6988,102.5666
2023-24,GSW,Golden State Warriors,46,36,0.561,82,117.7683,115.1585,114.933,112.3093,2.6236,0.0637,2.6873,102.5363
2023-24,HOU,Houston Rockets,41,41,0.5,82,114.3293,113.2073,111.687,110.5742,1.1128,0.0303,1.1431,102.4124
2023-24,IND,Indiana Pacers,47,35,0.5732,82,123.2927,120.2439,118.1113,115.2116,2.8997,-0.2201,2.6796,104.339
2023-24,LAC,LA Clippers,51,31,0.622,82,115.622,112.3415,115.8585,112.7017,3.1568,0.0498,3.2065,99.8012
2023-24,LAL,Los Angeles Lakers,47,35,0.5732,82,118.0366,117.439,113.424,112.9561,0.4679,0.4213,0.8892,104.0424
2023-24,MEM,Memphis Grizzlies,27,55,0.3293,82,105.8171,112.8171,104.5449,111.4952,-6.9504,0.3695,-6.5809,101.2566
2023-24,MIA,Miami Heat,46,36,0.561,82,110.1463,108.3902,111.4327,109.8203,1.6124,-0.595,1.0174,98.8263
2023-24,MIL,Milwaukee Bucks,49,33,0.5976,82,118.9756,116.3537,115.7387,113.1868,2.5519,-0.0948,2.4571,102.8266
2023-24,MIN,Minnesota Timberwolves,56,26,0.6829,82,112.9756,106.5244,112.9686,106.515,6.4536,-0.1633,6.2903,100.122
2023-24,NOP,New Orleans Pelicans,49,33,0.5976,82,115.0732,110.6585,114.7449,110.2879,4.457,-0.0541,4.4029,100.2968
2023-24,NYK,New York Knicks,50,32,0.6098,82,112.7927,108.2073,115.0157,110.2736,4.7421,-0.1583,4.5838,98.0912
2023-24,OKC,Oklahoma City Thunder,57,25,0.6951,82,120.0854,112.6707,116.6302,109.5637,7.0665,-0.1359,6.9306,102.9407
2023-24,ORL,Orlando Magic,47,35,0.5732,82,110.4634,108.439,110.6123,108.5875,2.0247,-0.4844,1.5403,99.8612
2023-24,PHI,Philadelphia 76ers,47,35,0.5732,82,114.5976,111.5488,113.8438,110.9254,2.9184,-0.4679,2.4505,100.6305
2023-24,PHX,Phoenix Suns,49,33,0.5976,82,116.2439,113.1829,114.8726,111.8674,3.0052,-0.0913,2.9138,101.3341
2023-24,POR,Portland Trail Blazers,21,61,0.2561,82,106.3659,115.3902,105.3043,114.2528,-8.9485,0.6852,-8.2633,101.0361
2023-24,SAC,Sacramento Kings,46,36,0.561,82,116.561,114.8171,114.1716,112.5483,1.6233,0.5011,2.1244,102.048
2023-24,SAS,San Antonio Spurs,22,60,0.2683,82,112.0976,118.5854,107.6751,113.8266,-6.1515,0.6386,-5.5129,104.2441
2023-24,TOR,Toronto Raptors,25,57,0.3049,82,112.3537,118.7927,109.6741,116.0169,-6.3427,0.0792,-6.2635,102.4485
2023-24,UTA,Utah Jazz,31,51,0.378,82,115.6585,120.5488,112.4622,117.308,-4.8458,0.6242,-4.2216,102.8368
2023-24,WAS,Washington Wizards,15,67,0.1829,82,113.7439,123.0366,108.066,116.9111,-8.8452,0.0728,-8.7723,105.2202
