season,player_name,team,position,age,games_played,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goal_attempts,field_goal_pct,three_point_makes,three_point_attempts,three_point_pct,free_throws_made,free_throw_attempts,free_throw_pct,points_pg,rebounds_pg,assists_pg,ts_pct,effective_fg_pct,usage_rate,ast_pct,reb_pct,tov_pct,net_rating
2023-24,Noah Clowney,BKN,,19.0,23,369.8583,133,81,18,8,16,15,50,93,0.538,12,33,0.364,21,30,0.7,5.7826,3.5217,0.7826,0.626,0.6022,0.137,0.0684,0.1201,0.1238,-6.9
2023-24,Tosan Evbuomwan,DET,,23.0,17,366.5783,101,60,16,6,5,9,36,71,0.507,12,32,0.375,17,25,0.68,5.9412,3.5294,0.9412,0.616,0.5915,0.108,0.0632,0.0956,0.0989,-15.6
2023-24,Ousmane Dieng,OKC,,21.0,33,364.9533,133,51,37,8,5,19,49,116,0.422,21,70,0.3,14,16,0.875,4.0303,1.5455,1.1212,0.54,0.5129,0.167,0.132,0.0836,0.1338,1.1
2023-24,Jontay Porter,DET,,24.0,26,359.7383,115,82,60,20,20,21,40,104,0.385,20,60,0.333,15,18,0.833,4.4231,3.1538,2.3077,0.514,0.4808,0.155,0.246,0.1332,0.158,-9.2
2023-24,Ben Simmons,BKN,,27.0,15,358.9167,92,119,86,12,9,27,43,74,0.581,0,0,0.0,6,15,0.4,6.1333,7.9333,5.7333,0.571,0.5811,0.126,0.3297,0.1818,0.2509,-3.4
2023-24,Brandon Boston,LAC,,22.0,32,345.1717,167,52,13,11,8,24,65,161,0.404,14,52,0.269,23,33,0.697,5.2188,1.625,0.4062,0.476,0.4472,0.24,0.0542,0.0847,0.1203,-15.7
2023-24,Jarace Walker,IND,,20.0,33,340.4233,120,63,40,15,11,17,45,110,0.409,22,55,0.4,8,9,0.889,3.6364,1.9091,1.2121,0.527,0.5091,0.155,0.1351,0.1024,0.1298,2.7
2023-24,JaVale McGee,SAC,,36.0,46,339.3617,185,126,17,14,20,34,79,132,0.598,1,7,0.143,26,45,0.578,4.0217,2.7391,0.3696,0.609,0.6023,0.214,0.0758,0.21,0.183,-1.9
2023-24,Olivier-Maxence Prosper,DAL,,21.0,40,336.2117,121,79,22,7,4,8,40,104,0.385,13,45,0.289,28,41,0.683,3.025,1.975,0.55,0.496,0.4471,0.153,0.0812,0.1319,0.0615,-13.2
2023-24,Jeremiah Robinson-Earl,NOP,,23.0,39,334.3133,115,76,21,10,4,16,45,95,0.474,13,39,0.333,12,16,0.75,2.9487,1.9487,0.5385,0.564,0.5421,0.144,0.0835,0.1257,0.1355,-1.9
2023-24,Neemias Queta,BOS,,24.0,28,333.2167,154,122,20,13,21,13,67,104,0.644,0,0,0.0,20,28,0.714,5.5,4.3571,0.7143,0.662,0.6442,0.16,0.0866,0.2062,0.1005,20.4
2023-24,Julian Phillips,CHI,,20.0,40,322.55,89,36,13,7,7,10,32,77,0.416,12,38,0.316,13,19,0.684,2.225,0.9,0.325,0.521,0.4935,0.121,0.0528,0.0624,0.1049,0.4
2023-24,Cody Zeller,NOP,,31.0,43,319.7067,76,112,39,9,5,16,26,62,0.419,1,3,0.333,23,38,0.605,1.7674,2.6047,0.907,0.483,0.4274,0.116,0.1515,0.1937,0.1689,6.3
2023-24,Ja Morant,MEM,,24.0,9,317.925,226,50,73,7,5,27,80,170,0.471,14,51,0.275,52,64,0.813,25.1111,5.5556,8.1111,0.57,0.5118,0.296,0.3942,0.074,0.1199,-0.2
2023-24,Ashton Hagans,POR,,24.0,19,315.5717,80,45,54,11,9,30,29,71,0.408,8,25,0.32,14,17,0.824,4.2105,2.3684,2.8421,0.51,0.4648,0.144,0.238,0.081,0.2765,-1.1
2023-24,Devonte' Graham,SAS,,29.0,23,312.9233,114,36,49,9,2,17,38,108,0.352,25,83,0.301,13,16,0.813,4.9565,1.5652,2.1304,0.495,0.4676,0.175,0.2086,0.0601,0.1287,3.3
2023-24,A.J. Lawson,DAL,,23.0,42,310.9,136,50,20,10,3,14,54,121,0.446,13,50,0.26,15,23,0.652,3.2381,1.1905,0.4762,0.519,0.5,0.18,0.0856,0.0903,0.0965,1.2
2023-24,Stanley Umude,DET,,25.0,24,307.1217,127,51,11,8,7,14,37,84,0.44,24,53,0.453,29,32,0.906,5.2917,2.125,0.4583,0.647,0.5833,0.15,0.0536,0.097,0.1249,-9.7
2023-24,Nathan Mensah,CHA,,26.0,25,306.6417,33,65,9,6,14,14,12,28,0.429,0,0,0.0,9,12,0.75,1.32,2.6,0.36,0.496,0.4286,0.068,0.0399,0.113,0.2961,-19.6
2023-24,Orlando Robinson,MIA,,23.0,36,303.69,99,84,34,7,8,18,36,72,0.5,8,15,0.533,19,25,0.76,2.75,2.3333,0.9444,0.596,0.5556,0.143,0.1527,0.1621,0.1782,3.5
2023-24,Furkan Korkmaz,PHI,,26.0,35,299.9267,88,30,25,14,3,10,30,76,0.395,14,40,0.35,14,20,0.7,2.5143,0.8571,0.7143,0.519,0.4868,0.126,0.11,0.0586,0.1055,6.4
2023-24,Cory Joseph,GSW,,32.0,26,295.8933,63,30,42,4,3,12,23,64,0.359,13,42,0.31,4,7,0.571,2.4231,1.1538,1.6154,0.47,0.4609,0.108,0.172,0.0547,0.1517,-3.0
2023-24,Garrett Temple,TOR,,38.0,27,288.7533,88,45,28,12,3,14,29,78,0.372,12,40,0.3,18,22,0.818,3.2593,1.6667,1.037,0.502,0.4487,0.147,0.1282,0.0824,0.1377,-13.1
2023-24,Ricky Council IV,PHI,,22.0,32,288.64,173,46,16,8,1,5,54,112,0.482,12,32,0.375,53,71,0.746,5.4062,1.4375,0.5,0.604,0.5357,0.208,0.0826,0.0933,0.0337,2.7
2023-24,Leaky Black,CHA,,25.0,26,284.0817,69,48,24,8,11,6,25,52,0.481,9,20,0.45,10,15,0.667,2.6538,1.8462,0.9231,0.589,0.5673,0.099,0.123,0.0901,0.0929,-4.0
2023-24,Lindy Waters III,OKC,,26.0,38,280.2083,137,40,24,5,7,7,49,104,0.471,37,85,0.435,2,2,1.0,3.6053,1.0526,0.6316,0.653,0.649,0.167,0.1177,0.0854,0.0626,-7.7
2023-24,Kessler Edwards,SAC,,23.0,54,274.7417,93,42,15,10,4,4,34,82,0.415,20,52,0.385,5,9,0.556,1.7222,0.7778,0.2778,0.541,0.5366,0.134,0.0709,0.0865,0.0445,-6.3
2023-24,Damian Jones,CLE,,29.0,39,269.7317,107,62,15,7,13,13,43,72,0.597,3,14,0.214,18,21,0.857,2.7436,1.5897,0.3846,0.659,0.6181,0.149,0.0794,0.1333,0.1379,-18.7
2023-24,Onuralp Bitim,CHI,,25.0,23,267.9917,80,32,13,3,2,10,32,84,0.381,12,44,0.273,4,5,0.8,3.4783,1.3913,0.5652,0.464,0.4524,0.149,0.0652,0.0667,0.104,-8.5
2023-24,Kira Lewis Jr.,UTA,,23.0,28,264.2367,89,26,37,9,2,14,34,92,0.37,4,33,0.121,17,20,0.85,3.1786,0.9286,1.3214,0.441,0.3913,0.178,0.18,0.0462,0.122,-11.4
2023-24,Jamal Cain,MIA,,25.0,26,259.0917,97,37,10,10,5,8,34,79,0.43,11,31,0.355,18,23,0.783,3.7308,1.4231,0.3846,0.544,0.5,0.158,0.0536,0.0837,0.0824,-3.4
2023-24,Jared Rhoden,DET,,24.0,17,245.0167,83,33,14,3,13,7,33,66,0.5,12,31,0.387,5,8,0.625,4.8824,1.9412,0.8235,0.597,0.5909,0.135,0.0873,0.0787,0.0915,-9.4
2023-24,Justin Champagnie,WAS,,23.0,15,234.8383,89,53,19,10,9,10,32,78,0.41,13,45,0.289,12,15,0.8,5.9333,3.5333,1.2667,0.526,0.4936,0.162,0.1034,0.1101,0.1057,-11.1
2023-24,Javonte Green,CHI,,30.0,9,230.4,110,67,5,10,8,7,45,75,0.6,10,27,0.37,10,13,0.769,12.2222,7.4444,0.5556,0.681,0.6667,0.159,0.0325,0.1625,0.0798,5.0
2023-24,Ibou Badji,POR,,21.0,22,225.8183,34,51,13,3,20,15,14,22,0.636,0,0,0.0,6,12,0.5,1.5455,2.3182,0.5909,0.623,0.6364,0.079,0.0769,0.1282,0.3548,-16.8
2023-24,Collin Gillespie,DEN,,25.0,24,225.365,87,21,27,13,0,14,32,69,0.464,15,38,0.395,8,12,0.667,3.625,0.875,1.125,0.586,0.5725,0.166,0.1548,0.0516,0.1586,2.5
2023-24,Gabe Vincent,LAL,,28.0,11,217.635,34,9,21,9,0,5,15,49,0.306,3,28,0.107,1,2,0.5,3.0909,0.8182,1.9091,0.341,0.3367,0.105,0.1182,0.0251,0.0911,6.8
2023-24,Markieff Morris,DAL,,34.0,26,216.3883,66,39,16,5,3,12,23,68,0.338,15,42,0.357,5,6,0.833,2.5385,1.5,0.6154,0.467,0.4485,0.153,0.0903,0.1012,0.1452,-15.3
2023-24,Jaylen Nowell,SAC,,24.0,13,213.7633,81,24,19,4,2,7,34,78,0.436,6,29,0.207,7,9,0.778,6.2308,1.8462,1.4615,0.494,0.4744,0.176,0.121,0.0635,0.0787,-7.4
2023-24,Theo Maledon,PHX,,23.0,17,213.1967,59,24,28,7,0,18,20,70,0.286,5,30,0.167,14,15,0.933,3.4706,1.4118,1.6471,0.385,0.3214,0.173,0.1693,0.0666,0.1903,-13.8
2023-24,Charles Bassey,SAS,,23.0,19,205.275,63,76,21,8,17,15,29,40,0.725,0,1,0.0,5,6,0.833,3.3158,4.0,1.1053,0.739,0.725,0.11,0.14,0.1933,0.2602,-11.6
2023-24,Taj Gibson,DET,,39.0,20,204.5033,34,37,11,3,7,5,15,37,0.405,2,10,0.2,2,2,1.0,1.7,1.85,0.55,0.449,0.4324,0.092,0.0751,0.1057,0.1166,-5.3
2023-24,Moses Brown,POR,,24.0,22,199.9783,75,86,7,5,7,11,33,65,0.508,0,0,0.0,9,31,0.29,3.4091,3.9091,0.3182,0.477,0.5077,0.176,0.0542,0.2442,0.1227,-14.4
2023-24,Kenneth Lofton Jr.,UTA,,21.0,21,198.3017,96,38,33,6,5,14,36,78,0.462,7,24,0.292,17,26,0.654,4.5714,1.8095,1.5714,0.537,0.5064,0.207,0.2295,0.09,0.1353,-1.8
2023-24,Kobe Bufkin,ATL,,20.0,17,196.0033,81,33,27,7,5,10,34,92,0.37,9,40,0.225,4,8,0.5,4.7647,1.9412,1.5882,0.424,0.4185,0.221,0.1915,0.0909,0.0948,-7.9
2023-24,Gui Santos,GSW,,22.0,23,192.09,82,49,14,4,2,7,28,55,0.509,10,27,0.37,16,17,0.941,3.5652,2.1304,0.6087,0.656,0.6,0.142,0.0962,0.1377,0.1007,3.4
