season,team,team_name,wins,losses,win_pct,games,points_pg,opponent_points_pg,off_rating_est,def_rating_est,net_rating,sos,adjusted_net_rating,pace
2025-26,ATL,Atlanta Hawks,46,36,0.561,82,118.4634,116.0488,113.2451,110.9378,2.3072,-0.0123,2.2949,104.5971
2025-26,BKN,Brooklyn Nets,20,62,0.2439,82,105.9268,115.9146,106.0193,116.0389,-10.0196,0.3229,-9.6967,99.9959
2025-26,BOS,Boston Celtics,56,26,0.6829,82,114.8537,107.1585,117.2222,109.3338,7.8884,-0.3463,7.5421,97.9912
2025-26,CHA,Charlotte Hornets,44,38,0.5366,82,116.0122,111.1829,115.8122,110.9272,4.885,-0.3635,4.5215,100.2405
2025-26,CHI,Chicago Bulls,31,51,0.378,82,116.3049,121.5122,110.3505,115.3433,-4.9928,0.1208,-4.872,105.3751
2025-26,CLE,Cleveland Cavaliers,52,30,0.6341,82,119.5244,115.4146,116.102,112.1569,3.9451,-0.3296,3.6155,102.9734
2025-26,DAL,Dallas Mavericks,26,56,0.3171,82,114.122,119.6341,108.5812,113.8906,-5.3094,0.172,-5.1374,105.1283
2025-26,DEN,Denver Nuggets,54,28,0.6585,82,122.0732,116.9268,119.5929,114.542,5.051,-0.187,4.864,102.0924
2025-26,DET,Detroit Pistons,60,22,0.7317,82,117.7683,109.6098,114.5281,106.515,8.013,-0.6391,7.3739,102.931
2025-26,GSW,Golden State Warriors,37,45,0.4512,82,114.6098,115.1707,112.0146,112.5607,-0.5461,0.2081,-0.338,102.3273
2025-26,HOU,Houston Rockets,52,30,0.6341,82,115.2317,110.0122,115.1855,109.9533,5.2322,-0.3824,4.8498,100.1185
2025-26,IND,Indiana Pacers,19,63,0.2317,82,112.4268,120.4146,108.3468,116.0897,-7.7429,0.3839,-7.359,103.8398
2025-26,LAC,LA Clippers,42,40,0.5122,82,113.7683,112.6341,114.3455,113.2416,1.104,-0.1925,0.9114,99.5649
2025-26,LAL,Los Angeles Lakers,53,29,0.6463,82,116.3415,114.5854,115.3937,113.6945,1.6992,-0.1005,1.5987,100.8088
2025-26,MEM,Memphis Grizzlies,25,57,0.3049,82,114.6707,120.6829,109.9628,115.7083,-5.7455,0.1731,-5.5724,104.3795
2025-26,MIA,Miami Heat,43,39,0.5244,82,120.8659,118.5366,113.767,111.6734,2.0935,0.0475,2.141,106.222
2025-26,MIL,Milwaukee Bucks,32,50,0.3902,82,110.6341,116.8415,110.2854,116.6289,-6.3435,0.1164,-6.2271,100.2693
2025-26,MIN,Minnesota Timberwolves,49,33,0.5976,82,118.0,114.6463,113.7421,110.7228,3.0193,-0.2917,2.7276,103.7324
2025-26,NOP,New Orleans Pelicans,26,56,0.3171,82,115.5244,120.0244,111.2003,115.7087,-4.5085,0.245,-4.2635,103.8166
2025-26,NYK,New York Knicks,53,29,0.6463,82,116.4512,110.122,116.667,110.3521,6.3149,-0.2886,6.0263,99.798
2025-26,OKC,Oklahoma City Thunder,64,18,0.7805,82,119.0244,107.878,116.0221,105.2209,10.8012,-0.1241,10.6771,102.6178
2025-26,ORL,Orlando Magic,45,37,0.5488,82,115.7439,115.1098,112.0933,111.5288,0.5644,0.2078,0.7722,103.3888
2025-26,PHI,Philadelphia 76ers,45,37,0.5488,82,115.878,116.061,112.1559,112.3164,-0.1605,-0.0787,-0.2392,103.3273
2025-26,PHX,Phoenix Suns,45,37,0.5488,82,112.5854,111.122,112.1269,110.7426,1.3843,0.2766,1.6609,100.4539
2025-26,POR,Portland Trail Blazers,42,40,0.5122,82,115.4756,115.7683,111.0751,111.2544,-0.1793,-0.0071,-0.1864,104.0051
2025-26,SAC,Sacramento Kings,22,60,0.2683,82,111.0,121.0,108.6313,118.4281,-9.7968,0.4229,-9.3739,102.221
2025-26,SAS,San Antonio Spurs,62,20,0.7561,82,119.8293,111.5244,116.6251,108.5502,8.0749,-0.0377,8.0372,102.7637
2025-26,TOR,Toronto Raptors,46,36,0.561,82,114.6341,111.8049,112.7873,110.2704,2.5169,-0.0523,2.4646,101.5524
2025-26,UTA,Utah Jazz,22,60,0.2683,82,117.5854,126.0122,111.2827,119.2895,-8.0067,0.3722,-7.6345,105.6822
2025-26,WAS,Washington Wizards,17,65,0.2073,82,112.9024,124.878,108.1827,119.7258,-11.5431,0.3646,-11.1785,104.4068
