season,team,team_name,wins,losses,win_pct,games,points_pg,opponent_points_pg,off_rating_est,def_rating_est,net_rating,sos,adjusted_net_rating,pace
2022-23,ATL,Atlanta Hawks,41,41,0.5,82,118.4268,118.1341,113.9389,113.6577,0.2812,-0.0135,0.2677,104.0095
2022-23,BKN,Brooklyn Nets,45,37,0.5488,82,113.3537,112.5,112.4597,111.4828,0.9769,0.1469,1.1238,100.9095
2022-23,BOS,Boston Celtics,57,25,0.6951,82,117.939,111.4146,115.6402,109.1127,6.5275,-0.1844,6.3431,102.1517
2022-23,CHA,Charlotte Hornets,27,55,0.3293,82,110.9512,117.1951,106.6681,112.753,-6.0848,0.3319,-5.7529,104.0495
2022-23,CHI,Chicago Bulls,40,42,0.4878,82,113.122,111.8293,111.2904,109.9664,1.3241,0.0437,1.3678,101.74
2022-23,CLE,Cleveland Cavaliers,51,31,0.622,82,112.2561,106.878,113.4593,108.0395,5.4198,-0.1889,5.2309,98.9822
2022-23,DAL,Dallas Mavericks,38,44,0.4634,82,114.2195,114.1463,114.2299,114.1769,0.0531,-0.1917,-0.1386,100.008
2022-23,DEN,Denver Nuggets,53,29,0.6463,82,115.7927,112.4634,115.0079,111.7774,3.2305,-0.264,2.9664,100.7122
2022-23,DET,Detroit Pistons,17,65,0.2073,82,110.3049,118.5244,107.9082,115.9962,-8.088,0.478,-7.61,102.2085
2022-23,GSW,Golden State Warriors,44,38,0.5366,82,118.939,117.1341,113.4038,111.6992,1.7046,-0.1208,1.5838,104.9859
2022-23,HOU,Houston Rockets,22,60,0.2683,82,110.7439,118.5976,108.4048,116.1563,-7.7515,0.2805,-7.471,102.1412
2022-23,IND,Indiana Pacers,35,47,0.4268,82,116.2805,119.4634,111.7227,114.7588,-3.0361,0.2482,-2.7879,104.1546
2022-23,LAC,LA Clippers,44,38,0.5366,82,113.5854,113.0854,112.4978,111.9958,0.502,-0.1717,0.3303,100.99
2022-23,LAL,Los Angeles Lakers,43,39,0.5244,82,117.1707,116.5976,112.0846,111.5355,0.5491,-0.1173,0.4317,104.6934
2022-23,MEM,Memphis Grizzlies,51,31,0.622,82,116.9146,112.9756,112.2731,108.4758,3.7973,-0.3158,3.4815,104.2159
2022-23,MIA,Miami Heat,44,38,0.5366,82,109.4756,109.7927,110.4392,110.8112,-0.372,0.1643,-0.2077,99.2178
2022-23,MIL,Milwaukee Bucks,58,24,0.7073,82,116.939,113.3049,112.8734,109.4573,3.4161,-0.0504,3.3657,103.632
2022-23,MIN,Minnesota Timberwolves,42,40,0.5122,82,115.7805,115.8171,111.2362,111.2304,0.0058,-0.163,-0.1572,104.1463
2022-23,NOP,New Orleans Pelicans,42,40,0.5122,82,114.3659,112.4756,111.8361,109.9944,1.8417,-0.2402,1.6015,102.3317
2022-23,NYK,New York Knicks,47,35,0.5732,82,116.0244,113.0976,114.8393,111.9011,2.9382,0.0305,2.9687,101.0866
2022-23,OKC,Oklahoma City Thunder,40,42,0.4878,82,117.4756,116.3902,112.3587,111.3816,0.9771,-0.0944,0.8828,104.5424
2022-23,ORL,Orlando Magic,34,48,0.4146,82,111.4146,113.9756,109.0099,111.5257,-2.5158,0.1439,-2.3718,102.211
2022-23,PHI,Philadelphia 76ers,54,28,0.6585,82,115.2195,110.9024,115.0857,110.8866,4.1991,0.0332,4.2323,100.1856
2022-23,PHX,Phoenix Suns,45,37,0.5488,82,113.6463,111.5732,112.1504,110.1212,2.0293,0.0464,2.0756,101.3541
2022-23,POR,Portland Trail Blazers,33,49,0.4024,82,113.4024,117.4146,112.1181,116.0884,-3.9702,0.0842,-3.886,101.208
2022-23,SAC,Sacramento Kings,48,34,0.5854,82,120.7073,118.061,116.7898,114.3637,2.4261,-0.3195,2.1065,103.3249
2022-23,SAS,San Antonio Spurs,22,60,0.2683,82,113.0366,123.0732,107.8133,117.4076,-9.5943,0.2444,-9.3499,104.9917
2022-23,TOR,Toronto Raptors,41,41,0.5,82,112.8537,111.378,112.6617,111.1954,1.4663,0.088,1.5543,100.2598
2022-23,UTA,Utah Jazz,37,45,0.4512,82,117.0732,118.0122,112.8933,113.8916,-0.9983,-0.0515,-1.0499,103.7644
2022-23,WAS,Washington Wizards,35,47,0.4268,82,113.1585,114.3659,111.9053,113.1598,-1.2546,0.123,-1.1315,101.2017
