"team","season","wins","loses","points_pg","opponent_points_pg","avg_fg_pct","avg_three_point_pct","avg_offensive_rebounds","avg_defensive_rebounds","avg_apg","avg_spg","avg_bpg","avg_to","off_rating_est","def_rating_est","net_rating"
"GSW","2023-24",46,36,117.7683,115.1585,0.4779,0.3791,12.1463,34.5610,29.2927,6.9756,4.5976,14.3171,114.933,112.3093,2.6236
"HOU","2023-24",41,41,114.3293,113.2073,0.4595,0.3521,11.4634,33.9878,24.8171,7.7927,4.5732,12.7439,111.687,110.5742,1.1128
"IND","2023-24",47,35,123.2927,120.2439,0.5085,0.3729,10.0854,31.4390,30.7561,7.6951,5.8659,12.9146,118.1113,115.2116,2.8997
"LAC","2023-24",51,31,115.622,112.3415,0.4891,0.3824,10.0244,32.9390,25.5732,7.8049,5.0366,13.1463,115.8585,112.7017,3.1568
"LAL","2023-24",47,35,118.0366,117.439,0.4996,0.3743,8.2439,34.8659,28.5366,7.3780,5.5244,13.9756,113.424,112.9561,0.4679
"MEM","2023-24",27,55,105.8171,112.8171,0.4352,0.3452,10.9268,31.6829,24.6951,8.2073,6.1098,15.0732,104.5449,111.4952,-6.9504
"MIA","2023-24",46,36,110.1463,108.3902,0.4655,0.3700,9.3415,32.9512,25.8049,7.5244,3.4146,12.6585,111.4327,109.8203,1.6124
"MIL","2023-24",49,33,118.9756,116.3537,0.4880,0.3727,9.4146,34.7561,26.5366,6.8049,5.0366,12.9146,115.7387,113.1868,2.5519
"MIN","2023-24",56,26,112.9756,106.5244,0.4865,0.3870,9.3902,34.2317,26.6341,7.8902,6.0610,14.1707,112.9686,106.515,6.4536
"NOP","2023-24",49,33,115.0732,110.6585,0.4868,0.3781,10.3902,33.5732,26.9512,8.3415,4.6098,13.0122,114.7449,110.2879,4.457
"NYK","2023-24",50,32,112.7927,108.2073,0.4663,0.3695,12.6707,32.5000,24.3659,7.4634,4.0976,13.2317,115.0157,110.2736,4.7421
"OKC","2023-24",57,25,120.0854,112.6707,0.5000,0.3872,8.8049,33.2317,27.1098,8.4634,6.5610,12.6707,116.6302,109.5637,7.0665
"ORL","2023-24",47,35,110.4634,108.439,0.4778,0.3522,10.5000,31.8049,24.6707,8.1585,5.1585,14.7073,110.6123,108.5875,2.0247
"PHI","2023-24",47,35,114.5976,111.5488,0.4655,0.3600,11.0488,31.9024,24.8902,8.4634,6.0000,12.0000,113.8438,110.9254,2.9184
"PHX","2023-24",49,33,116.2439,113.1829,0.4945,0.3799,10.1341,33.9390,27.0488,7.4390,6.0000,14.8902,114.8726,111.8674,3.0052
"POR","2023-24",21,61,106.3659,115.3902,0.4397,0.3457,12.6341,30.1098,23.0976,7.6463,4.3171,15.2317,105.3043,114.2528,-8.9485
"SAC","2023-24",46,36,116.561,114.8171,0.4767,0.3656,10.8293,33.1585,28.3415,7.6220,4.1707,13.1463,114.1716,112.5483,1.6233
"SAS","2023-24",22,60,112.0976,118.5854,0.4634,0.3488,10.3537,33.8780,29.8659,7.1220,6.3415,15.1463,107.6751,113.8266,-6.1515
"TOR","2023-24",25,57,112.3537,118.7927,0.4717,0.3458,10.8659,31.7927,28.4756,7.7317,4.7317,13.9878,109.6741,116.0169,-6.3427
